문제,정답
cpu를 통해 수행되는 사용자 및 시스템 프로그램으로 시스템의 작업단위를 무엇이라 하는가?,프로세스(process)
작업이 제출되어 스풀 공간인 디스크에 수록되어있는상태를 무엇이라 하는가?,보류 상태
cpu를 할당 받을 수 있는 상태로 cpu가 프로세스 자신을 처리해 주기를 기다리는 상태를 무엇이라 하는가?,준비 상태
"프로세스가 cpu를 차지하고 있는 상태로, cpu에 의해 프로세스를 수행하는 상태를 무엇이라 하는가?",실행 상태
cpu를 양도하고 입출력 처리가 완료될 때까지 대기 큐에서 대기하고 있는 상태로 우선순위가 존재하지않는 상태를 무엇이라 하는가?,대기 상태
프로세스가 cpu를 할당받아 주어진 시간 내에 완전히 수행을 종료한 상태를 무엇이라 하는가?,종료 상태
준비상태의 프로세스들 중에서 우선순위가 가장 높은 프로세스를 선정하여 cpu를 할당함으로써 실행상태로 전환하는것을 무엇이라 하는가?,디스패치
cpu의 지정된 할당 시간을 모두 사용한 프로세스는 다른 프로세스를 위해 다시 준비상태로 되돌아가는데 이것을 무엇이라 하는가?,할당시간 초과
실행중인 프로세스가 입출력 명령을 만나면 인터럽트가 발생하여 입출력 전용 프로세서에게 cpu를 양도하고 자신은 대기상태로 전환하는것을 무엇이라 하는가?,입출력 발생(block)
입출력 완료를 기다리다가 입출력 완료 신호가 들어오면 대기중인 프로세스는준비상태로 전환하는데 이것을 무엇이라 하는가?,입축력 완료(wake up)
cpu를 사용하려고 하는 프로세스들 사이의 우선순위를 관리하는 작업을 무엇이라 하는가?,프로세스 스케줄링
프로세스의 중요한 상태정보를 갖는 자료 구조는 무엇인가?,pcb(process control block)
"프로세스보다 저 작은 단위를 말하며, 다중 프로그래밍을 지원하는 시스템하에서 cpu에게 보내져 실행되는 또다른 단위를 의미한다.",스레드(Thread)
준비 큐에 도착한 순서대로 CPU를 할당하는 비선점 스케줄링 기법은 무엇인가?,FIFO
작업이 끝나기까지의 실행시간 추정치가 가장 작은 작업을 먼저 실행시키는 비선점형 스케줄링 방법으로 평균 대기시간이 가장 짧은 스케줄링 방법은?,SJF
SJF기법의 약점을 보완한 비선점 스케줄링 기법으로 대기시간이 긴 프로세스의 경우 우선순위가 높아지는 에이징 기법을 적용시킨 스케줄링 기법은?,HRN
FIFO스케줄링 기법을 선점기법으로 구현한것으로 할당된 시간 내에 작업이 끝나지 않으면 대기 큐의 맨 뒤로 그 작업을 배치하는 기법은?,RR(Round Robin)
"비선점 방식의 SJF에 선점방식을 도입하여, 현재 실행중인 프로세스보다 잔여시간이 짧은 프로세스가 준비큐에 생기면 실행중인 프로세스를 선점하여 더 짧은 프로세스를 실행시키는 선점형 방식은?",SRT(Shortest Remaining Time)
"프로세스들을 우선순위에 따라 시스템 프로세스, 대화형 프로세스, 일괄처리 프로세스 등으로 상위, 중위, 하위 단계의 단계별 준비큐를 배치하는 선점형 스케줄링 방식은?","다단계 큐 (MQ,Multi-level Queue)"
여러개의 큐를 두어 낮은 단계로 내려갈수록 프로세스의 시간 할당량을 크게하는 프로세스 스케줄링 방식으로 마지막 단계의 큐에서는 작업이 완료될 때 까지 RR방식을 통해 처리되는 스케줄링 방식은?,"다단계 피드백 큐(MFQ, Multi-level Feedback Queue)"
"자원이 할당되기를 오랜 시간 동안 기다린 우선순위가 낮은 프로세스에 대하여, 기다린 시간에 비례하여 우선순위를 높여주어 프로세스가 무기한 지연되지 않도록 하는 기법을 무엇이라 하는지 쓰시오.",에이징
